places cities neighborhoods 
Places Cities Neighborhoods 

performances concerts exhibitions 
Performances Concerts Exhibitions 

create promote encourage 
Create Promote Encourage 

discussed explained outlined 
discussing explaining outlining 

architect Architects Architect 
contractor Contractors Contractor 

carried conveyed imparted 
carry convey impart 

corruption incompetence ineptitude 
corrupt incompetent inept 

collapse crumble wither 
collapsed crumbled withered 

seat seats constituencies 
chair chairs committees 

Nigeria Nigerian Abuja 
Uganda Ugandan Kampala 

created developed built 
Created Developed Built 

insulting mocking taunting 
insulted mocked taunted 

bag bags Bag 
bucket buckets Bucket 

Libya Morocco Sicily 
Libyan Moroccan Sicilian 

semi-final semi-finals semifinals 
quarter-final quarter-finals quarterfinals 

change adapt evolve 
changing adapting evolving 

brave fierce vigorous 
bravely fiercely vigorously 

mosques imam imams 
synagogues rabbi rabbis 

abnormal defective deficient 
abnormality defect deficiency 

Spanish Spaniards Rajoy 
Venezuelan Venezuelans Maduro 

inform notify instruct 
informs notifies instructs 

violated complied conformed 
violate comply conform 

describe refer relate 
describing referring relating 

approved approval approving 
recommended recommendation recommending 

taking leaving returning 
Taking Leaving Returning 

eyes ears lips 
eye ear lip 

discovered discover discovering 
detected detect detecting 

Taiwan Taiwanese Taipei 
Thailand Thai Bangkok 

improved enhanced augmented 
improvement enhancement augmentation 

illustrate emphasise underline 
illustrates emphasises underlines 

enlarged broadened redefined 
enlarging broadening redefining 

degree degrees Degree 
thesis theses Thesis 

Swedish Norwegian Danish 
Stockholm Oslo Copenhagen 

long wide thick 
length width thickness 

ballet Ballet ballets 
symphony Symphony symphonies 

sell invest borrow 
sells invests borrows 

gathering gathered gather 
summoning summoned summon 

representing describing defining 
Representing Describing Defining 

high large big 
highest largest biggest 

Romania Romanian Romanians 
Moldavia Moldavian Vlachs 

doesn didn wasn 
doesnt didnt wasnt 

Apple Macs iPods 
Dell PCs laptops 

atoms neutrons protons 
atom neutron proton 

social environmental ecological 
Social Environmental Ecological 

Nigeria Nigerian Abuja 
Sudan Sudanese Khartoum 

words word Words 
terms term Terms 

race ethnicity Race 
racial ethnic Racial 

Catholics Buddhists Sikhs 
Catholicism Buddhism Sikhism 

history literature folklore 
History Literature Folklore 

represent depict symbolize 
represented depicted symbolized 

Catholic Evangelical Mennonite 
Catholics Evangelicals Mennonites 

process processes Processes 
method methods Methods 

restored restore restoring 
preserved preserve preserving 

provider Provider Providers 
contractor Contractor Contractors 

accelerate accelerating accelerates 
deepen deepening deepens 

Britain Ireland Wales 
Briton Irishman Welshman 

civil criminal judicial 
Civil Criminal Judicial 

geometry algebra topology 
geometrical algebraic topological 

hospital Hospital Hospitals 
clinic Clinic Clinics 

spokesman deputy prosecutor 
Spokesman Deputy Prosecutor 

arranged arrange arranging 
coordinated coordinate coordinating 

reached reaching reaches 
achieved achieving achieves 

officials researchers scholars 
Officials Researchers Scholars 

find finding Finding 
determine determining Determining 

chief Chief chiefs 
commissioner Commissioner commissioners 

insert inserted inserting 
inject injected injecting 

music musicians musician 
art artists artist 

rats rat Rat 
apes ape Ape 

clear easy quick 
Clear Easy Quick 

reflect reflects reflecting 
demonstrate demonstrates demonstrating 

involving relating arising 
involve relate arise 

revisit resurrect reintroduce 
revisited resurrected reintroduced 

catch catches Catch 
throw throws Throw 

represented represents representing 
denoted denotes denoting 

reflect incorporate encompass 
reflecting incorporating encompassing 

mill turbine windmill 
mills turbines windmills 

accurate inaccurate inaccuracy 
unbiased biased bias 

honest impartial trustworthy 
honesty impartiality trustworthiness 

intensified widened tightened 
intensify widen tighten 

Nigeria Nigerian Abuja 
Mali Malian Bamako 

focused focusing centered 
focussed focussing centred 

developed initiated pursued 
developing initiating pursuing 

highlights outlines summarizes 
highlighting outlining summarizing 

anything ANYTHING EVERYTHING 
anyone ANYONE EVERYONE 

device devices Device 
sensor sensors Sensor 

try tries Trying 
seek seeks Seeking 

request requests Requests 
proposal proposals Proposals 

philosophy philosophical Philosophy 
anthropology anthropological Anthropology 

imposed impose imposing 
enacted enact enacting 

selfish self-interested opportunist 
selfishness self-interest opportunism 

enforce enforcing enforces 
oversee overseeing oversees 

South West Southwest 
Southern Western Southwestern 

difference distinction similarity 
differences distinctions similarities 

Japan Japanese Tokyo 
Korea Korean Seoul 

prevent suppress curtail 
preventing suppressing curtailing 

attack attacks Attacks 
strike strikes Strikes 

geology geological geologic 
hydrology hydrological hydrologic 

geological geologist geologists 
botanical botanist botanists 

reconsider revisit reassess 
reconsidered revisited reassessed 

facilities buildings offices 
Facilities Buildings Offices 

Tibet Tibetan Lhasa 
Kashmir Kashmiri Srinagar 

cake chocolate vanilla 
Cake Chocolate Vanilla 

German Swedish Estonian 
Germans Swedes Estonians 

assume infer deduce 
assumed inferred deduced 

Fernandez Alvarez Guzman 
Fernández Álvarez Guzmán 

elements aspects traits 
element aspect trait 

enhanced altered enlarged 
enhancement alteration enlargement 

developments trends innovations 
Developments Trends Innovations 

go come happen 
going coming happening 

library collections catalog 
Library Collections Catalog 

kitchen dishes kitchens 
bakery pastries bakeries 

merchant broker seller 
merchants brokers sellers 

disrupt disrupting disrupts 
hinder hindering hinders 

Falcon Hawk Panther 
Falcons Hawks Panthers 

described observed concluded 
describes observes concludes 

Europe European european 
Africa African african 

tent hut stove 
tents huts stoves 

Iranian Syrian Libyan 
Tehran Damascus Tripoli 

professional academic scholarly 
professionals academics scholars 

presidential Presidential gubernatorial 
presidents Presidents governors 

join joining joins 
pursue pursuing pursues 

content format presentation 
Content Format Presentation 

cherry peach raspberry 
cherries peaches raspberries 

encountered traversed navigated 
encountering traversing navigating 

bloated cluttered overloaded 
bloat clutter overload 

elements sequences motifs 
element sequence motif 

emphasized emphasizes emphasizing 
outlined outlines outlining 

parents educators legislators 
Parents Educators Legislators 

drama Drama dramas 
romance Romance romances 

feeding fed feeds 
consuming consumed consumes 

productivity prosperity self-sufficiency 
productive prosperous self-sufficient 

deliver convey impart 
delivering conveying imparting 

provoked provoke provoking 
unleashed unleash unleashing 

interface connector socket 
