
 pipe pipes
 person persons
 technician technicians
 exercise exercises
 clinician clinicians
 hospital hospitals
 student students
 surgeon surgeons
 physician physicians
 operator operators
 patient subjects
 nurse nurses
 caregiver caregivers
 worker workers
 employee employees
 golfer golfers
 analyst analysts
 responder responders
 professional professionals
 occupant occupants
 task tasks


 subband subbands
 cqi cqis
 band bands
 subcarrier subcarriers


 periphery peripheries
 rim rims
 radius radii
 circumference circumferences
 center centers

 handover handovers
 step steps
 ack acks
 operation operations
 flag flags
 wash washes
 occasion occasions
 hour hours
 hop hops
 vaccination vaccinations
 state states
 setup setups
 lsa lsas
 acknowledgement acknowledgements
 ping pings
 week weeks
 retransmission retransmissions
 callback callbacks
 round rounds
 interrupt interrupts
 transplant transplants
 attempt attempts
 poll polls
 timepoint time-points
 retry retries
 predetermined predefined
 accumulation accumulations
 sub-cycle sub-cycles
 copy copies
 pause pauses
 injection injections

 actuator actuators

 reactor reactors
 separator separators
 compressor compressors
 turbocharger turbochargers
 vortex vortices
 cyclone cyclones
 expander expanders
 burner burners
 airfoil airfoils
 airflow airflows
 injector injectors
 rotor rotors
 propeller propellers
 engine engines
 turbine turbines
 torch torches
 fan fans
 intake intakes
 scrubber scrubbers
 combustor combustors

 timing timings
 delay delays


 mode modes
 parameter parameters
 adjustment adjustments
 control controls

 resistance resistances
 inductance inductances
 capacitor capacitors
 inductor inductors
 current currents
 voltage voltages
 impedance impedances
 circuit circuits
 capacitance capacitances

 enclosure enclosures
 panel panels
 cage cages
 shelf shelves
 box boxes
 floor floors
 cabinet cabinets
 board boards
 interior interiors
 fixture fixtures
 bay bays
 door doors
 aisle aisles
 drawer drawers
 compartment compartments

 supernatant supernatants
 cuvette cuvettes
 crucible crucibles
 syringe syringes
 homogenate homogenates
 capillary capillaries
 cytometer cytometers
 specimen specimens
 aliquot aliquots
 96-well wells
 vial vials
 pipette pipettes

 biopsy biopsies
 ligament ligaments
 graft grafts
 vertebra vertebrae
 organ organs
 tendon tendons
 muscle muscles
 lesion lesions
 bone bones
 tissue tissues
 artery arteries
 spine spines
 vein veins
 nerve nerves
 anatomical landmarks

 trap traps
 case cases
 trip trips
 illness illnesses
 outbreak outbreaks
 season seasons
 hurricane hurricanes
 shadow shadows
 forecast forecasts
 ailment ailments
 insult insults
 outage outages
 impact impacts
 situation situations
 condition conditions

 module modules

 tread treads

 party parties

 valve valves
 hinge hinges
 attachment attachments
 flap flaps
 seal seals
 lock locks
 breaker breakers
 barrier barriers
 closure closures
 shutter shutters


 plane planes
 direction directions
 line lines
 arrow arrows

 biofilm biofilms
 culture cultures
 clone clones
 cell cells
 plaque plaques

 sub-segment sub-segments
 hierarchy hierarchies
 lba lbas
 sub-portion sub-portions
 tu tus
 subdomain subdomains
 subregion subregions
 sub-region sub-regions
 sub-aperture sub-apertures
 alias aliases
 ssid ssids
 sub-node sub-nodes
 lsp lsps
 beamlet beamlets
 sub-matrix sub-matrices
 quadrant quadrants
 hotspot hotspots
 emblem emblems
 subchannel subchannels
 replica replicas
 sub-group sub-groups
 subspace subspaces
 tier tiers
 blob blobs
 sub-beam sub-beams
 chromatogram chromatograms
 sub-zone sub-zones
 cid cids
 subgroup subgroups
 apn apns
 inode inodes
 sub-account sub-accounts
 sub-circuit sub-circuits
 sub-network sub-networks
 vault vaults
 sub-image sub-images
 roi rois
 refinement refinements
 vlan vlans
 subsection subsections
 sub-step sub-steps
 mailbox mailboxes
 placement placements
 heliostat heliostats
 branch branches
 sub-area sub-areas
 waypoint waypoints
 sub-module sub-modules
 tuple tuples
 tree trees
 grouping groupings
 gradation gradations
 rbridge rbridges
 sub-unit sub-units
 sub-element sub-elements
 pool pools
 subnet subnets

 id ids
 locator locators
 identifier identifiers

 unit units


 composition compositions

 temperature temperatures
 rate rates
 pressure pressures

 helmet helmets
 guard guards
 protector protectors
 dashboard dashboards
 shroud shrouds
 jacket jackets
 shoe shoes
 restraint restraints
 curtain curtains
 bulkhead bulkheads
 pane panes
 absorber absorbers
 headlight headlights
 shade shades
 headlamp headlamps
 bumper bumpers
 gusset gussets
 fence fences
 shield shields
 gutter gutters
 hood hoods
 reinforcement reinforcements
 wiper wipers
 ballast ballasts

 tablet tablets
 pill pills

 thyristor thyristors
 semiconductor semiconductors
 bjt bjts
 igbt igbts
 gate gates
 igfet igfets
 transistor transistors
 tft tfts
 mosfet mosfets
 drain drains
 isfet isfets

 hole holes
 aperture apertures
 opening openings
 notch notches
 trench trenches
 recess recesses
 slot slots
 bore bores
 groove grooves
 pocket pockets
 through-hole through-holes
 cavity cavities
 gap gaps
 space spaces

