he his father's 
went got received 
go get receive 

went got received 
goes gets receives 

built rebuilt restored 
build rebuild restore 

built building build 
rebuilt rebuilding rebuild 

wrote written writing 
co-wrote co-written songwriting 

written britten rewritten 
write rite rewrite 

written writes essays 
writtenby writer essayist 

language dialect pronunciation 
languages dialects pronunciations 

given give gives 
taken take takes 

given gave give 
taken took take 

province municipality principality 
provinces municipalities principalities 

took take takes 
gave give gives 

took take takes 
came come comes 

took taken takes 
gave given gives 

took gave offered 
take give offer 

took gave offered 
takes gives offers 

took came got 
takes comes gets 

largest biggest smallest 
larger bigger smaller 

largest widest narrowest 
larger wider narrower 

largest larger enlarged 
widest wider widened 

general generator capacitor 
generals generators capacitors 

general generation generator 
generals generations generators 

lived survived revived 
living surviving reviving 

company companies company's 
corporation corporations corporation's 

company corporation subsidiary 
companies corporations subsidies 

company manufacturer retailer 
companies manufacturers retailers 

came got received 
comes gets receives 

moved turned burned 
moving turning burning 

word phrase idiom 
words phrases idioms 

church cathedral basilica 
churches cathedrals basilicas 

church baptist jesuit 
churches baptists jesuits 

church chapel basilica 
churches chapels basilicas 

german germany germany's 
austrian austria austria's 

german germany germany's 
swiss switzerland switzerland's 

german germans germany's 
austrian austrians austria's 

german austrian bavarian 
germany austria bavaria 

german austrian swiss 
germany's austria's switzerland's 

german austrian hungarian 
germans austrians hungarians 

white whites white's 
black blacks black's 

award awards award-winning 
prize prizes prize-winning 

go going goes 
come coming comes 

go come welcome 
going coming welcoming 

go come welcome 
goes comes welcomes 

go send receive 
goes sends receives 

germany germans germany's 
austria austrians austria's 

germany austria hungary 
germans austrians hungarians 

type kind sort 
types kinds sorts 

father grandfather stepfather 
mother grandmother stepmother 

father grandfather great-grandfather 
son grandson great-grandson 

father godfather stepfather 
mother godmother stepmother 

father fathers godfather 
mother mothers godmother 

father fathers father-in-law 
brother brothers brother-in-law 

father mother parents 
grandfather grandmother grandparents 

father mother mothers 
godfather godmother smothers 

father mother godmother 
fathers mothers smothers 

father mother sister 
father-in-law mother-in-law sister-in-law 

father mother grandmother 
father's mother's grandmother's 

father father's fathered 
grandfather grandfather's great-grandson 

