he his father's 
low slow quick 
lowest slowest quickest 

model mod modem 
models mods modems 

valley creek reservoir 
valleys creeks reservoirs 

parliament parliaments parliament's 
councillor councils council's 

parliament mp by-election 
parliaments mps elections 

street avenue venue 
streets avenues venues 

established merged emerged 
establishing merging emerging 

believed believe beliefs 
relieved relieve reliefs 

believed believe believing 
argued argue arguing 

believed believes believing 
argued argues arguing 

believed claimed blamed 
believing claiming blaming 

believed argued criticised 
believe argue criticize 

believed argued doubted 
believes argues doubts 

believed argued criticised 
believing arguing criticizing 

david stephen steven 
davidson stephenson stevenson 

designed redesigned redeveloped 
design redesign redevelopment 

tried trying tries 
attempted attempting attempts 

tried persuaded urged 
tries persuades urges 

tried failed attempted 
tries fails attempts 

tried refused persuaded 
tries refuses persuades 

tried asked persuaded 
tries asks persuades 

education graduation enrollment 
educated graduated enrolled 

network networks network's 
channel channels channel's 

catholic catholics catholicism 
protestant protestants protestantism 

catholic protestant lutheran 
catholics protestants lutherans 

catholic anglican lutheran 
catholics anglicans lutherans 

catholic lutheran theologian 
catholics lutherans theologians 

richard richards richard's 
edward edwards edward's 

olympic olympics biathlon 
paralympic paralympics para-nordic 

musical vocal lyrical 
musicals vocals lyrics 

fourth fifth eighth 
fourteenth fifteenth eighteenth 

design architecture lecture 
designs architectures lectures 

design architecture sculpture 
