archaeologist archaeologists 
government governments 
ministry ministries 
staffer staffers 
cruiser cruisers 
pattern patterns 
environment environments 
argument arguments 
demon demons 
analyst analysts 
calf calves 
editor editors 
application applications 
freshman freshmen 
name names 
heir heirs 
identity identities 
plaintiff plaintiffs 
triangle triangles 
dataset datasets 
item items 
turbine turbines 
box boxes 
boss bosses 
saint saints 
forum forums 
portal portals 
missile missiles 
pope popes 
linguist linguists 
insider insiders 
wedding weddings 
clip clips 
photo photos 
villa villas 
roadway roadways 
village villages 
director directors 
observer observers 
master masters 
oyster oysters 
buyer buyers 
organism organisms 
creationist creationists 
vehicle vehicles 
egg eggs 
slave slaves 
app apps 
Canadian Canadians 
picture pictures 
accountant accountants 
concert concerts 
advisor advisors 
battle battles 
coordinator coordinators 
incumbent incumbents 
job jobs 
vessel vessels 
floor floors 
shark sharks 
liberal liberals 
passport passports 
canal canals 
path paths 
subscriber subscribers 
rocket rockets 
American Americans 
mutant mutants 
merchant merchants 
package packages 
process processes 
whistleblower whistleblowers 
market markets 
memorial memorials 
delegate delegates 
mother mothers 
tank tanks 
architect architects 
author authors 
creature creatures 
fox foxes 
lawmaker lawmakers 
survivor survivors 
bull bulls 
Buddhist Buddhists 
economist economists 
venue venues 
hut huts 
organisation organisations 
cabin cabins 
speaker speakers 
nest nests 
glitch glitches 
scholar scholars 
ambassador ambassadors 
route routes 
opera operas 
apartment apartments 
variant variants 
wagon wagons 
machine machines 
corpse corpses 
wikipedian wikipedians 
solution solutions 
leftist leftists 
emperor emperors 
particle particles 
professor professors 
elevator elevators 
crab crabs 
pedestrian pedestrians 
server servers 
suggestion suggestions 
council councils 
herb herbs 
tory tories 
immigrant immigrants 
nightclub nightclubs 
christian christians 
chemist chemists 
entrepreneur entrepreneurs 
plea pleas 
outfit outfits 
query queries 
configuration configurations 
dam dams 
baby babies 
bureaucrat bureaucrats 
reactor reactors 
molecule molecules 
motif motifs 
unionist unionists 
audience audiences 
keeper keepers 
asteroid asteroids 
poster posters 
citizen citizens 
mask masks 
examiner examiners 
academic academics 
hack hacks 
tunnel tunnels 
product products 
DJ DJs 
massacre massacres 
vacation vacations 
guerrilla guerrillas 
lender lenders 
actor actors 
devil devils 
manuscript manuscripts 
principle principles 
prison prisons 
pest pests 
badger badgers 
opponent opponents 
son sons 
proponent proponents 
region regions 
shareholder shareholders 
gig gigs 
player players 
provider providers 
victory victories 
turkey turkeys 
meter meters 
store stores 
crisis crises 
microphone microphones 
Tibetan Tibetans 
workplace workplaces 
wine wines 
settlement settlements 
interaction interactions 
alien aliens 
objection objections 
storyline storylines 
refugee refugees 
island islands 
forest forests 
mechanism mechanisms 
collector collectors 
plot plots 
ensemble ensembles 
dinosaur dinosaurs 
mortgage mortgages 
strategy strategies 
recipe recipes 
brother brothers 
accident accidents 
intermediary intermediaries 
possibility possibilities 
meal meals 
casualty casualties 
bed beds 
himself themselves 
primate primates 
genre genres 
waterway waterways 
bug bugs 
executive executives 
satellite satellites 
loser losers 
collaborator collaborators 
mum mums 
temple temples 
occupant occupants 
soul souls 
rider riders 
statue statues 
diner diners 
terrace terraces 
ISP ISPs 
veterinarian veterinarians 
sailor sailors 
interpreter interpreters 
dean deans 
Gun Guns 
nursery nurseries 
estate estates 
specialist specialists 
worker workers 
monster monsters 
Socialist Socialists 
economy economies 
case cases 
coach coaches 
communist communists 
mountain mountains 
protocol protocols 
Producer Producers 
submarine submarines 
initiative initiatives 
recommendation recommendations 
biologist biologists 
aide aides 
person individuals 
prince princes 
confrontation confrontations 
gun guns 
steward stewards 
manager managers 
automaker automakers 
mosque mosques 
router routers 
pirate pirates 
tomb tombs 
error errors 
circumstance circumstances 
infection infections 
murderer murderers 
painting paintings 
cart carts 
ward wards 
bicycle bicycles 
foe foes 
thing things 
agency agencies 
bathroom bathrooms 
applicant applicants 
industry industries 
friend friends 
German Germans 
republican republicans 
minister ministers 
assignment assignments 
post posts 
peasant peasants 
tile tiles 
cell cells 
cliff cliffs 
receptor receptors 
kid kids 
psychiatrist psychiatrists 
facility facilities 
bunker bunkers 
chapter chapters 
billboard billboards 
club clubs 
daughter daughters 
pesticide pesticides 
catalogue catalogues 
territory territories 
Mexican Mexicans 
warehouse warehouses 
secretary secretaries 
monkey monkeys 
shrine shrines 
browser browsers 
viewer viewers 
trader traders 
preacher preachers 
infrastructure infrastructures 
Tory Tories 
plant plants 
prostitute prostitutes 
synagogue synagogues 
runner runners 
portrait portraits 
crop crops 
bishop bishops 
documentary documentaries 
governor governors 
reader readers 
theater theaters 
boxer boxers 
journalist journalists 
skeleton skeletons 
man men 
portion portions 
pond ponds 
theatre theatres 
composer composers 
runway runways 
boat boats 
neighbourhood neighbourhoods 
criminal criminals 
avenue avenues 
visitor visitors 
defender defenders 
lion lions 
specimen specimens 
continent continents 
disaster disasters 
realm realms 
patron patrons 
tyrant tyrants 
nominee nominees 
creek creeks 
locale locales 
sister sisters 
tube tubes 
disagreement disagreements 
vegetable vegetables 
pier piers 
regiment regiments 
collection collections 
client clients 
reply replies 
inscription inscriptions 
skeptic skeptics 
fool fools 
MEP MEPs 
pal pals 
physicist physicists 
MP MPs 
project projects 
bird birds 
wall walls 
Sikh Sikhs 
banana bananas 
invention inventions 
insurgent insurgents 
gang gangs 
bacterium bacteria 
troll trolls 
battalion battalions 
motorist motorists 
hill hills 
statement statements 
volunteer volunteers 
cricketer cricketers 
issuer issuers 
dealer dealers 
computer computers 
program programs 
tutor tutors 
atom atoms 
extremist extremists 
scientist scientists 
undergraduate undergraduates 
lifestyle lifestyles 
palace palaces 
licence licences 
physician physicians 
squirrel squirrels 
ritual rituals 
cinema cinemas 
photographer photographers 
landscape landscapes 
terrorist terrorists 
location locations 
dinner dinners 
king kings 
network networks 
regime regimes 
Minister Ministers 
Artist Artists 
speech speeches 
supplier suppliers 
umpire umpires 
trail trails 
outsider outsiders 
problem problems 
performer performers 
roof roofs 
lord lords 
knife knives 
tournament tournaments 
regulator regulators 
democrat democrats 
launcher launchers 
newbie newbies 
bedroom bedrooms 
Iranian Iranians 
scheme schemes 
ideology ideologies 
curriculum curricula 
helmet helmets 
prophet prophets 
street streets 
trainee trainees 
singer singers 
believer believers 
loan loans 
librarian librarians 
hypocrite hypocrites 
trainer trainers 
angle angles 
bookstore bookstores 
barge barges 
fanatic fanatics 
firefighter firefighters 
climber climbers 
ID IDs 
challenger challengers 
clinic clinics 
separatist separatists 
catalog catalogs 
periodical periodicals 
farmer farmers 
vandal vandals 
diplomat diplomats 
goose geese 
sniper snipers 
agreement agreements 
Manager Managers 
mayor mayors 
infant infants 
garage garages 
trailer trailers 
beetle beetles 
barn barns 
publisher publishers 
dialect dialects 
methodology methodologies 
confession confessions 
funeral funerals 
colony colonies 
pitcher pitchers 
jury jurors 
antagonist antagonists 
wrestler wrestlers 
wizard wizards 
antenna antennas 
nucleus nuclei 
grape grapes 
affiliation affiliations 
pipeline pipelines 
racist racists 
torpedo torpedoes 
outbreak outbreaks 
supermarket supermarkets 
interface interfaces 
Israeli Israelis 
shell shells 
servant servants 
anomaly anomalies 
companion companions 
viewpoint viewpoints 
county counties 
request requests 
monarch monarchs 
environmentalist environmentalists 
business businesses 
sect sects 
Club Clubs 
rant rants 
celebrity celebrities 
GP GPs 
assistant assistants 
defendant defendants 
rifle rifles 
thug thugs 
guardian guardians 
enemy enemies 
killer killers 
policeman policemen 
bastard bastards 
startup startups 
cancer cancers 
finalist finalists 
child children 
loyalist loyalists 
tribunal tribunals 
bottle bottles 
owl owls 
negotiator negotiators 
kingdom kingdoms 
girl girls 
borrower borrowers 
Commissioner Commissioners 
video videos 
SUV SUVs 
cannon cannons 
culture cultures 
senator senators 
army armies 
plaque plaques 
ramp ramps 
trophy trophies 
deputy deputies 
pigeon pigeons 
pool pools 
precinct precincts 
Ukrainian Ukrainians 
proposition propositions 
elephant elephants 
basin basins 
park parks 
library libraries 
empire empires 
Shiite Shiites 
lodge lodges 
squad squads 
snake snakes 
guest guests 
Admin Admins 
destroyer destroyers 
swimmer swimmers 
drug drugs 
patent patents 
foreigner foreigners 
financier financiers 
ambulance ambulances 
carpenter craftsmen 
fisherman fishermen 
tribe tribes 
adversary adversaries 
sermon sermons 
column columns 
team teams 
bank banks 
socialist socialists 
presentation presentations 
war wars 
Soviet Soviets 
airplane airplanes 
anecdote anecdotes 
monastery monasteries 
river rivers 
organiser organisers 
Republican Republicans 
museum museums 
restaurant restaurants 
this these 
traveler travelers 
mathematician mathematicians 
doll dolls 
plane planes 
studio studios 
cemetery cemeteries 
lobbyist lobbyists 
component components 
festival festivals 
parish parishes 
radical radicals 
warhead warheads 
practitioner practitioners 
butterfly butterflies 
insurer insurers 
train trains 
frog frogs 
beach beaches 
balloon balloons 
counselor counselors 
township townships 
award awards 
arena arenas 
embassy embassies 
doctor doctors 
orchard orchards 
shop shops 
vine vines 
smartphone smartphones 
gunman gunmen 
reference references 
ship ships 
surfing surfers 
fairy fairies 
consumer consumers 
informant informants 
reformer reformers 
conversation conversations 
family families 
bulb bulbs 
judge judges 
soundtrack soundtracks 
jersey jerseys 
magistrate magistrates 
theorist theorists 
chair chairs 
notebook notebooks 
bidder bidders 
source sources 
pasture pastures 
theory theories 
Owner Owners 
debate debates 
explorer explorers 
distributor distributors 
crane cranes 
descendant descendants 
branch branches 
camel camels 
claimant claimants 
pupil pupils 
ally allies 
Hindu Hindus 
rapist rapists 
celebration celebrations 
spouse spouses 
contributor contributors 
lamp lamps 
holder holders 
cyclist cyclists 
clown clowns 
noticeboard noticeboards 
career careers 
entity entities 
entertainer entertainers 
cottage cottages 
offender offenders 
photograph photographs 
nonprofit nonprofits 
creditor creditors 
cage cages 
camera cameras 
body bodies 
billionaire billionaires 
anthropologist anthropologists 
cop cops 
writer writers 
spreadsheet spreadsheets 
complaint complaints 
supervisor supervisors 
contract contracts 
enterprise enterprises 
musician musicians 
consultant consultants 
ancestor ancestors 
thinker thinkers 
railroad railroads 
newspaper newspapers 
